the  [ðə; ði]
external  [ɪkˈstɜːrn(ə)l]
proof  [pruːf]
confident  [ˈkɑːnfɪdənt]
headquarters  [ˈhedkwɔːrtərz]
sudden  [ˈsʌd(ə)n]
dirty  [ˈdɜːrti]
violation  [ˌvaɪəˈleɪʃ(ə)n]
tongue  [tʌŋ]
license  [ˈlaɪs(ə)ns]
hold  [hoʊld]
shelter  [ˈʃeltər]
rub  [rʌb]
controversy  [ˈkɑːntrəvɜːrsi]
entrance  [ˈentrəns]
favorite  [ˈfeɪvərɪt]
practice  [ˈpræktɪs]
properly  [ˈprɑːpərli]
fade  [feɪd]
defensive  [dɪˈfensɪv]
tragedy  [ˈtrædʒədi]
net  [net]
characterize  [ˈkærəktəraɪz]
funeral  [ˈfjuːnərəl]
profession  [prəˈfeʃ(ə)n]
alter  [ˈɔːltər]
spot  [spɑːt]
constitute  [ˈkɑːnstɪtuːt]
establishment  [ɪˈstæblɪʃmənt]
squeeze  [skwiːz]
imagination  [ɪˌmædʒɪˈneɪʃ(ə)n]
target  [ˈtɑːrɡɪt]
mask  [mæsk]
convert  [kənˈvɜːrt]
comprehensive  [ˌkɑːmprɪˈhensɪv]
prominent  [ˈprɑːmɪnənt]
presentation  [ˌpriːz(ə)nˈteɪʃ(ə)n]
regardless  [rɪˈɡɑːrdləs]
easy  [ˈiːzi]
load  [loʊd]
stable  [ˈsteɪb(ə)l]
introduction  [ˌɪntrəˈdʌkʃ(ə)n]
appeal  [əˈpiːl]
pretend  [prɪˈtend]
not  [nɑːt]
elderly  [ˈeldərli]
representation  [ˌreprɪzenˈteɪʃ(ə)n]
deer  [dɪr]
split  [splɪt]
violate  [ˈvaɪəleɪt]
partnership  [ˈpɑːrtnərʃɪp]
pollution  [pəˈluːʃ(ə)n]
emission  [ɪˈmɪʃ(ə)n]
steady  [ˈstedi]
vital  [ˈvaɪt(ə)l]
neither  [ˈniːðər]
fate  [feɪt]
earnings  [ˈɜːrnɪŋz]
oven  [ˈʌv(ə)n]
distinction  [dɪˈstɪŋkʃn]
segment  [ˈseɡmənt]
nowhere  [ˈnoʊwer]
poet  [ˈpoʊət]
mere  [mɪr]
exciting  [ɪkˈsaɪtɪŋ]
variation  [ˌveriˈeɪʃ(ə)n]
comfort  [ˈkʌmfərt]
radical  [ˈrædɪk(ə)l]
stress  [stres]
adapt  [əˈdæpt]
Irish  [ˈaɪrɪʃ]
honey  [ˈhʌni]
correspondent  [ˌkɔːrəˈspɑːndənt]
pale  [peɪl]
musician  [mjuˈzɪʃ(ə)n]
significance  [sɪɡˈnɪfɪkəns]
load  [loʊd]
round  [raʊnd]
vessel  [ˈves(ə)l]
storage  [ˈstɔːrɪdʒ]
flee  [fliː]
None  [nʌn]
leather  [ˈleðər]
distribute  [dɪˈstrɪbjuːt]
evolution  [ˌevəˈluːʃ(ə)n]
ill  [ɪl]
tribe  [traɪb]
shelf  [ʃelf]
can  [kæn; kən]
grandfather  [ˈɡrænfɑːðər]
lawn  [lɔːn]
buyer  [ˈbaɪər]
dining  [ˈdaɪnɪŋ]
wisdom  [ˈwɪzdəm]
council  [ˈkaʊns(ə)l]
vulnerable  [ˈvʌlnərəb(ə)l]
instance  [ˈɪnstəns]
garlic  [ˈɡɑːrlɪk]
capability  [ˌkeɪpəˈbɪləti]
poetry  [ˈpoʊətri]
celebrity  [səˈlebrəti]
gradually  [ˈɡrædʒuəli]
stability  [stəˈbɪləti]
doubt  [daʊt]
fantasy  [ˈfæntəsi]
scared  [skerd]
guide  [ɡaɪd]
plot  [plɑːt]
framework  [ˈfreɪmwɜːrk]
gesture  [ˈdʒestʃər]
depending  [dɪˈpendɪŋ]
ongoing  [ˈɑːnɡoʊɪŋ]
psychology  [saɪˈkɑːlədʒi]
since  [sɪns]
counselor  [ˈkaʊnsələr]
witness  [ˈwɪtnəs]
chapter  [ˈtʃæptər]
fellow  [ˈfeloʊ]
divorce  [dɪˈvɔːrs]
owe  [oʊ]
pipe  [paɪp]
athletic  [æθˈletɪk]
slight  [slaɪt]
math  [mæθ]
shade  [ʃeɪd]
tail  [teɪl]
sustain  [səˈsteɪn]
mount  [maʊnt]
obligation  [ˌɑːblɪˈɡeɪʃn]
angle  [ˈæŋɡ(ə)l]
palm  [pɑːm]
differ  [ˈdɪfər]
custom  [ˈkʌstəm]
store  [stɔːr]
economist  [ɪˈkɑːnəmɪst]
fifteen  [ˌfɪfˈtiːn]
soup  [suːp]
celebration  [ˌseləˈbreɪʃ(ə)n]
efficient  [ɪˈfɪʃ(ə)nt]
damage  [ˈdæmɪdʒ]
composition  [ˌkɑːmpəˈzɪʃ(ə)n]
satisfy  [ˈsætɪsfaɪ]
pile  [paɪl]
briefly  [ˈbriːfli]
carbon  [ˈkɑːrbən]
closer  [ˈkloʊzər]
consume  [kənˈsuːm]
scheme  [skiːm]
crack  [kræk]
frequency  [ˈfriːkwənsi]
tobacco  [təˈbækoʊ]
survivor  [sərˈvaɪvər]
besides  [bɪˈsaɪdz]
in  [ɪn]
psychologist  [saɪˈkɑːlədʒɪst]
wealthy  [ˈwelθi]
galaxy  [ˈɡæləksi]
given  [ˈɡɪv(ə)n]
fund  [fʌnd]
ski  [skiː]
limitation  [ˌlɪmɪˈteɪʃ(ə)n]
OK  [oʊ ˈkeɪ]
trace  [treɪs]
appointment  [əˈpɔɪntmənt]
preference  [ˈprefrəns]
meter  [ˈmiːtər]
explosion  [ɪkˈsploʊʒn]
arrest  [əˈrest]
publicly  [ˈpʌblɪkli]
incredible  [ɪnˈkredəb(ə)l]
fighter  [ˈfaɪtər]
rapid  [ˈræpɪd]
admission  [ədˈmɪʃ(ə)n]
hunter  [ˈhʌntər]
educate  [ˈedʒukeɪt]
painful  [ˈpeɪnf(ə)l]
friendship  [ˈfrendʃɪp]
aide  [eɪd]
infant  [ˈɪnfənt]
calculate  [ˈkælkjuleɪt]
fifty  [ˈfɪfti]
rid  [rɪd]
porch  [pɔːrtʃ]
tendency  [ˈtendənsi]
uniform  [ˈjuːnɪfɔːrm]
formation  [fɔːrˈmeɪʃ(ə)n]
scholarship  [ˈskɑːlərʃɪp]
reservation  [ˌrezərˈveɪʃ(ə)n]
efficiency  [ɪˈfɪʃ(ə)nsi]
waste  [weɪst]
qualify  [ˈkwɑːlɪfaɪ]
mall  [mɔːl]
derive  [dɪˈraɪv]
scandal  [ˈskænd(ə)l]
PC  [ˌpiː ˈsiː]
helpful  [ˈhelpf(ə)l]
impress  [ɪmˈpres]
heel  [hiːl]
resemble  [rɪˈzemb(ə)l]
privacy  [ˈpraɪvəsi]
fabric  [ˈfæbrɪk]
surprise  [sərˈpraɪz]
contest  [ˈkɑːntest]
proportion  [prəˈpɔːrʃ(ə)n]
guideline  [ˈɡaɪdlaɪn]
rifle  [ˈraɪf(ə)l]
maintenance  [ˈmeɪntənəns]
conviction  [kənˈvɪkʃn]
trick  [trɪk]
organic  [ɔːrˈɡænɪk]
tent  [tent]
examination  [ɪɡˌzæmɪˈneɪʃ(ə)n]
publisher  [ˈpʌblɪʃər]
strengthen  [ˈstreŋkθ(ə)n]
French  [frentʃ]
proposed  [prəˈpoʊzd]
myth  [mɪθ]
sophisticated  [səˈfɪstɪkeɪtɪd]
cow  [kaʊ]
etc  [ˌet ˈsetərə; ˌɪt ˈsetərə]
standing  [ˈstændɪŋ]
asleep  [əˈsliːp]
tennis  [ˈtenɪs]
nerve  [nɜːrv]
barrel  [ˈbærəl]
bombing  [ˈbɑːmɪŋ]
membership  [ˈmembərʃɪp]
ratio  [ˈreɪʃioʊ]
menu  [ˈmenjuː]
purchase  [ˈpɜːrtʃəs]
controversial  [ˌkɑːntrəˈvɜːrʃ(ə)l]
desperate  [ˈdespərət]
None  [nʌn]
lifestyle  [ˈlaɪfstaɪl]
humor  [ˈhjuːmər]
loud  [laʊd]
glove  [ɡlʌv]
suspect  [səˈspekt]
sufficient  [səˈfɪʃ(ə)nt]
narrative  [ˈnærətɪv]
photographer  [fəˈtɑːɡrəfər]
helicopter  [ˈhelɪkɑːptər]
Catholic  [ˈkæθlɪk]
modest  [ˈmɑːdɪst]
provider  [prəˈvaɪdər]
delay  [dɪˈleɪ]
agricultural  [ˌæɡrɪˈkʌltʃərəl]
explode  [ɪkˈsploʊd]
stroke  [stroʊk]
scope  [skoʊp]
punishment  [ˈpʌnɪʃmənt]
handful  [ˈhændfʊl]
badly  [ˈbædli]
horizon  [həˈraɪz(ə)n]
curious  [ˈkjʊriəs]
downtown  [ˌdaʊnˈtaʊn]
girlfriend  [ˈɡɜːrlfrend]
prompt  [prɑːmpt]
request  [rɪˈkwest]
cholesterol  [kəˈlestərɔːl]
absorb  [əbˈzɔːrb]
adjustment  [əˈdʒʌstmənt]
taxpayer  [ˈtækspeɪər]
eager  [ˈiːɡər]
principal  [ˈprɪnsəp(ə)l]
detailed  [ˈdiːteɪldˌdɪˈteɪld]
motivation  [ˌmoʊtɪˈveɪʃ(ə)n]
assignment  [əˈsaɪnmənt]
restriction  [rɪˈstrɪkʃ(ə)n]
across  [əˈkrɔːs]
Palestinian  [ˌpæləˈstɪniən]
laboratory  [ˈlæbrətɔːri]
workshop  [ˈwɜːrkʃɑːp]
differently  [ˈdɪfrəntli]
auto  [ˈɔːtoʊ]
romantic  [roʊˈmæntɪk]
cotton  [ˈkɑːt(ə)n]
motor  [ˈmoʊtər]
sue  [suː]
flavor  [ˈfleɪvər]
overlook  [ˌoʊvərˈlʊk]
float  [floʊt]
undergo  [ˌʌndərˈɡoʊ]
sequence  [ˈsiːkwəns]
demonstration  [ˌdemənˈstreɪʃ(ə)n]
jet  [dʒet]
orange  [ˈɔrɪndʒ]
consumption  [kənˈsʌmpʃ(ə)n]
assert  [əˈsɜːrt]
blade  [bleɪd]
temporary  [ˈtempəreri]
medication  [ˌmedɪˈkeɪʃ(ə)n]
print  [prɪnt]
cabin  [ˈkæbɪn]
bite  [baɪt]
relative  [ˈrelətɪv]
edition  [ɪˈdɪʃn]
valley  [ˈvæli]
yours  [jɔːrz]
pitch  [pɪtʃ]
pine  [paɪn]
brilliant  [ˈbrɪliənt]
versus  [ˈvɜːrsəs]
manufacturing  [ˌmænjuˈfæktʃərɪŋ]
risk  [rɪsk]
Christian  ['krɪstʃən]
complex  [kəmˈpleks]
absolute  [ˈæbsəluːt]
chef  [ʃef]
discrimination  [dɪˌskrɪmɪˈneɪʃ(ə)n]
offensive  [əˈfensɪv]
German  [ˈdʒɜːrmən]
suit  [suːt]
boom  [buːm]
register  [ˈredʒɪstər]
appoint  [əˈpɔɪnt]
heritage  [ˈherɪtɪdʒ]
God  [ɡɑːd]
terrorist  [ˈterərɪst]
dominant  [ˈdɑːmɪnənt]
successfully  [səkˈsesfəli]
shit  [ʃɪt]
lemon  [ˈlemən]
hungry  [ˈhʌŋɡri]
sense  [sens]
dry  [draɪ]
wander  [ˈwɑːndər]
submit  [səbˈmɪt]
economics  [ˌiːkəˈnɑːmɪks]
naked  [ˈneɪkɪd]
anticipate  [ænˈtɪsɪpeɪt]
nut  [nʌt]
legacy  [ˈleɡəsi]
extension  [ɪkˈstenʃ(ə)n]
shrug  [ʃrʌɡ]
fly  [flaɪ]
battery  [ˈbætəri]
arrival  [əˈraɪv(ə)l]
legitimate  [lɪˈdʒɪtɪmət]
orientation  [ˌɔːriənˈteɪʃ(ə)n]
inflation  [ɪnˈfleɪʃ(ə)n]
cope  [koʊp]
flame  [fleɪm]
cluster  [ˈklʌstər]
host  [hoʊst]
wound  [wuːnd]
dependent  [dɪˈpendənt]
shower  [ˈʃaʊər]
institutional  [ˌɪnstɪˈtuːʃənl]
depict  [dɪˈpɪkt]
operating  [ˈɑpəretɪŋ]
flesh  [fleʃ]
garage  [ɡəˈrɑːʒ]
operator  [ˈɑːpəreɪtər]
instructor  [ɪnˈstrʌktər]
collapse  [kəˈlæps]
borrow  [ˈbɔːroʊ]
furthermore  [ˌfɜːrðərˈmɔːr]
comedy  [ˈkɑːmədi]
mortgage  [ˈmɔːrɡɪdʒ]
sanction  [ˈsæŋkʃ(ə)n]
civilian  [səˈvɪliən]
twelve  [twelv]
weekly  [ˈwiːkli]
habitat  [ˈhæbɪtæt]
grain  [ɡreɪn]
brush  [brʌʃ]
consciousness  [ˈkɑːnʃəsnəs]
devote  [dɪˈvoʊt]
crack  [kræk]
measurement  [ˈmeʒərmənt]
province  [ˈprɑːvɪns]
ease  [iːz]
seize  [siːz]
ethics  [ˈeθɪks]
nomination  [ˌnɑːmɪˈneɪʃn]
permission  [pərˈmɪʃ(ə)n]
wise  [waɪz]
actress  [ˈæktrəs]
summit  [ˈsʌmɪt]
acid  [ˈæsɪd]
odds  [ɑːdz]
gifted  [ˈɡɪftɪd]
frustration  [frʌˈstreɪʃ(ə)n]
medium  [ˈmiːdiəm]
function  [ˈfʌŋkʃ(ə)n]
physically  [ˈfɪzɪkli]
grant  [ɡrænt]
distinguish  [dɪˈstɪŋɡwɪʃ]
shore  [ʃɔːr]
repeatedly  [rɪˈpiːtɪdli]
lung  [lʌŋ]
firm  [fɜːrm]
running  [ˈrʌnɪŋ]
correct  [kəˈrekt]
distinct  [dɪˈstɪŋkt]
artistic  [ɑːrˈtɪstɪk]
discourse  [ˈdɪskɔːrs]
basket  [ˈbæskɪt]
ah  [ɑː]
fighting  [ˈfaɪtɪŋ]
impressive  [ɪmˈpresɪv]
competitor  [kəmˈpetɪtər]
ugly  [ˈʌɡli]
worried  [ˈwɜːrid]
portray  [pɔːrˈtreɪ]
powder  [ˈpaʊdər]
ghost  [ɡoʊst]
persuade  [pərˈsweɪd]
moderate  [ˈmɑːdərət]
subsequent  [ˈsʌbsɪkwənt]
continued  [kənˈtɪnjuːd]
cookie  [ˈkʊki]
carrier  [ˈkæriər]
cooking  [ˈkʊkɪŋ]
frequent  [ˈfriːkwənt]
ban  [bæn]
swing  [swɪŋ]
orange  [ˈɔrɪndʒ]
awful  [ˈɔːf(ə)l]
admire  [ədˈmaɪər]
pet  [pet]
miracle  [ˈmɪrək(ə)l]
exceed  [ɪkˈsiːd]
rhythm  [ˈrɪðəm]
widespread  [ˌwaɪdˈspred]
killing  [ˈkɪlɪŋ]
lovely  [ˈlʌvli]
sin  [sɪn]
charity  [ˈtʃærəti]
script  [skrɪpt]
tactic  [ˈtæktɪk]
identification  [aɪˌdentɪfɪˈkeɪʃ(ə)n]
transformation  [ˌtrænsfərˈmeɪʃ(ə)n]
everyday  [ˈevrideɪ]
headline  [ˈhedlaɪn]
crash  [kræʃ]
venture  [ˈventʃər]
invasion  [ɪnˈveɪʒ(ə)n]
military  [ˈmɪləteri]
nonetheless  [ˌnʌnðəˈles]
adequate  [ˈædɪkwət]
piano  [piˈænoʊ]
grocery  [ˈɡroʊsəri]
intensity  [ɪnˈtensəti]
exhibit  [ɪɡˈzɪbɪt]
high  [haɪ]
blanket  [ˈblæŋkɪt]
margin  [ˈmɑːrdʒɪn]
principal  [ˈprɪnsəp(ə)l]
quarterback  [ˈkwɔːrtərbæk]
mouse  [maʊs]
rope  [roʊp]
concrete  [ˈkɑːnkriːt]
prescription  [prɪˈskrɪpʃ(ə)n]
African-American  [ˌæfrɪkən əˈmerɪkən]
chase  [tʃeɪs]
document  [ˈdɑːkjumənt]
brick  [brɪk]
recruit  [rɪˈkruːt]
patch  [pætʃ]
consensus  [kənˈsensəs]
horror  [ˈhɔːrər]
recording  [rɪˈkɔːrdɪŋ]
changing  [ˈtʃeɪndʒɪŋ]
painter  [ˈpeɪntər]
colonial  [kəˈloʊniəl]
pie  [paɪ]
sake  [seɪk]
gaze  [ɡeɪz]
courage  [ˈkɜːrɪdʒ]
pregnancy  [ˈpreɡnənsi]
swear  [swer]
defeat  [dɪˈfiːt]
clue  [kluː]
reinforce  [ˌriːɪnˈfɔːrs]
win  [wɪn]
confusion  [kənˈfjuːʒ(ə)n]
slice  [slaɪs]
occupation  [ˌɑːkjuˈpeɪʃ(ə)n]
dear  [dɪr]
coal  [koʊl]
sacred  [ˈseɪkrɪd]
criminal  [ˈkrɪmɪn(ə)l]
formula  [ˈfɔːrmjələ]
cognitive  [ˈkɑːɡnətɪv]
collective  [kəˈlektɪv]
exact  [ɪɡˈzækt]
uncle  [ˈʌŋk(ə)l]
square  [skwer]
captain  [ˈkæptɪn]
sigh  [saɪ]
attribute  [əˈtrɪbjuːt]
dare  [der]
okay  [oʊˈkeɪ]
homeless  [ˈhoʊmləs]
cool  [kuːl]
gallery  [ˈɡæləri]
soccer  [ˈsɑːkər]
defendant  [dɪˈfendənt]
tunnel  [ˈtʌn(ə)l]
fitness  [ˈfɪtnəs]
lap  [læp]
grave  [ɡreɪv]
toe  [toʊ]
container  [kənˈteɪnər]
virtue  [ˈvɜːrtʃuː]
abroad  [əˈbrɔːd]
architect  [ˈɑːrkɪtekt]
dramatically  [drəˈmætɪkli]
makeup  [ˈmeɪˌkʌp]
inquiry  [ˈɪnkwəri; ɪnˈkwaɪəri]
rose  [roʊz]
surprisingly  [sərˈpraɪzɪŋli]
highlight  [ˈhaɪlaɪt]
decrease  [dɪˈkriːs]
indication  [ˌɪndɪˈkeɪʃ(ə)n]
rail  [reɪl]
anniversary  [ˌænɪˈvɜːrsəri]
couch  [kaʊtʃ]
alliance  [əˈlaɪəns]
hypothesis  [haɪˈpɑːθəsɪs]
boyfriend  [ˈbɔɪfrend]
compose  [kəmˈpoʊz]
peer  [pɪr]
mess  [mes]
rank  [ræŋk]
legend  [ˈledʒənd]
regulate  [ˈreɡjuleɪt]
adolescent  [ˌædəˈles(ə)nt]
shine  [ʃaɪn]
norm  [nɔːrm]
upset  [ˌʌpˈset]
remark  [rɪˈmɑːrk]
resign  [rɪˈzaɪn]
reward  [rɪˈwɔːrd]
gentle  [ˈdʒent(ə)l]
related  [rɪˈleɪtɪd]
organ  [ˈɔːrɡən]
lightly  [ˈlaɪtli]
concerning  [kənˈsɜːrnɪŋ]
invent  [ɪnˈvent]
laughter  [ˈlæftər]
fit  [fɪt]
northwest  [ˌnɔːrθˈwest]
counseling  [ˈkaʊnslɪŋ]
tight  [taɪt]
receiver  [rɪˈsiːvər]
ritual  [ˈrɪtʃuəl]
insect  [ˈɪnsekt]
interrupt  [ˌɪntəˈrʌpt]
salmon  [ˈsæmən]
favor  [ˈfeɪvər]
trading  [ˈtreɪdɪŋ]
concern  [kənˈsɜːrn]
magic  [ˈmædʒɪk]
superior  [suːˈpɪriər]
combat  [ˈkɑːmbæt]
stem  [stem]
surgeon  [ˈsɜːrdʒən]
acceptable  [əkˈseptəb(ə)l]
physics  [ˈfɪzɪks]
rape  [reɪp]
counsel  [ˈkaʊns(ə)l]
brush  [brʌʃ]
jeans  [dʒiːnz]
hunt  [hʌnt]
continuous  [kənˈtɪnjuəs]
log  [lɔːɡ]
echo  [ˈekoʊ]
pill  [pɪl]
excited  [ɪkˈsaɪtɪd]
sculpture  [ˈskʌlptʃər]
compound  [ˈkɑːmpaʊnd]
integrate  [ˈɪntɪɡreɪt]
flour  [ˈflaʊər]
bitter  [ˈbɪtər]
bare  [ber]
slope  [sloʊp]
rent  [rent]
presidency  [ˈprezɪdənsi]
serving  [ˈsɜːrvɪŋ]
subtle  [ˈsʌt(ə)l]
greatly  [ˈɡreɪtli]
bishop  [ˈbɪʃəp]
drinking  [ˈdrɪŋkɪŋ]
delay  [dɪˈleɪ]
cry  [kraɪ]
acceptance  [əkˈseptəns]
collapse  [kəˈlæps]
shop  [ʃɑːp]
pump  [pʌmp]
candy  [ˈkændi]
evil  [ˈiːv(ə)l]
final  [ˈfaɪn(ə)l]
finance  [ˈfaɪnæns]
pleased  [pliːzd]
medal  [ˈmed(ə)l]
beg  [beɡ]
sponsor  [ˈspɑːnsər]
ethical  [ˈeθɪk(ə)l]
secondary  [ˈsekənderi]
slam  [slæm]
export  [ɪkˈspɔːrt]
experimental  [ɪkˌsperɪˈment(ə)l]
melt  [melt]
midnight  [ˈmɪdnaɪt]
net  [net]
curve  [kɜːrv]
integrity  [ɪnˈteɡrəti]
entitle  [ɪnˈtaɪt(ə)l]
evident  [ˈevɪdənt]
logic  [ˈlɑːdʒɪk]
essence  [ˈes(ə)ns]
park  [pɑːrk]
exclude  [ɪkˈskluːd]
harsh  [hɑːrʃ]
closet  [ˈklɑːzɪt]
suburban  [səˈbɜːrbən]
greet  [ɡriːt]
favor  [ˈfeɪvər]
interior  [ɪnˈtɪriər]
corridor  [ˈkɔːrɪdɔːr]
murder  [ˈmɜːrdər]
retail  [ˈriːteɪl]
pitcher  [ˈpɪtʃər]
march  [mɑːrtʃ]
snake  [sneɪk]
pitch  [pɪtʃ]
excuse  [ɪkˈskjuːs]
cross  [krɔːs]
weakness  [ˈwiːknəs]
pig  [pɪɡ]
cold  [koʊld]
classical  [ˈklæsɪk(ə)l]
estimated  [ˈestɪmeɪtɪd]
T-shirt  [ˈtiː ʃɜːrt]
online  [ˌɑːnˈlaɪn]
unemployment  [ˌʌnɪmˈplɔɪmənt]
civilization  [ˌsɪvələˈzeɪʃ(ə)n]
fold  [foʊld]
patient  [ˈpeɪʃ(ə)nt]
pop  [pɑːp]
daily  [ˈdeɪli]
reverse  [rɪˈvɜːrs]
missing  [ˈmɪsɪŋ]
correlation  [ˌkɔːrəˈleɪʃ(ə)n]
humanity  [hjuːˈmænəti]
flash  [flæʃ]
developer  [dɪˈveləpər]
reliable  [rɪˈlaɪəb(ə)l]
excitement  [ɪkˈsaɪtmənt]
beef  [biːf]
Islam  [ˈɪzlɑːmˌɪzˈlɑːm]
Roman  [ˈroʊmən]
stretch  [stretʃ]
architecture  [ˈɑːrkɪtektʃər]
occasional  [əˈkeɪʒən(ə)l]
administrative  [ədˈmɪnɪstreɪtɪv]
elbow  [ˈelboʊ]
deadly  [ˈdedli]
Muslim  [ˈmʊzlɪm; ˈmʌzlɪm; ˈmʊslɪm]
Hispanic  [hɪˈspænɪk]
allegation  [ˌæləˈɡeɪʃn]
tip  [tɪp]
confuse  [kənˈfjuːz]
airplane  [ˈerpleɪn]
monthly  [ˈmʌnθli]
duck  [dʌk]
dose  [doʊs]
Korean  [kəˈriːən]
plead  [pliːd]
initiate  [ɪˈnɪʃieɪt]
lecture  [ˈlektʃər]
van  [væn]
sixth  [sɪksθ]
bay  [beɪ]
mainstream  [ˈmeɪnstriːm]
suburb  [ˈsʌbɜːrb]
sandwich  [ˈsænwɪtʃ]
unlike  [ˌʌnˈlaɪk]
trunk  [trʌŋk]
rumor  [ˈruːmər]
implementation  [ˌɪmplɪmenˈteɪʃ(ə)n]
swallow  [ˈswɑːloʊ]
motivate  [ˈmoʊtɪveɪt]
render  [ˈrendər]
longtime  [ˈlɔːŋtaɪm]
trap  [træp]
restrict  [rɪˈstrɪkt]
cloth  [klɔːθ]
seemingly  [ˈsiːmɪŋli]
legislative  [ˈledʒɪsleɪtɪv]
effectiveness  [ɪˈfektɪvnəs]
enforce  [ɪnˈfɔːrs]
lens  [lenz]
reach  [riːtʃ]
inspector  [ɪnˈspektər]
lend  [lend]
plain  [pleɪn]
fraud  [frɔːd]
companion  [kəmˈpænjən]
contend  [kənˈtend]
nail  [neɪl]
array  [əˈreɪ]
strict  [strɪkt]
assemble  [əˈsemb(ə)l]
frankly  [ˈfræŋkli]
rat  [ræt]
burst  [bɜːrst]
hallway  [ˈhɔːlweɪ]
cave  [keɪv]
inevitable  [ɪnˈevɪtəb(ə)l]
southwest  [ˌsaʊθˈwest]
monster  [ˈmɑːnstər]
speed  [spiːd]
protest  [ˈproʊtest]
unexpected  [ˌʌnɪkˈspektɪd]
obstacle  [ˈɑːbstək(ə)l]
facilitate  [fəˈsɪlɪteɪt]
encounter  [ɪnˈkaʊntər]
rip  [rɪp]
herb  [ɜːrb]
overwhelming  [ˌoʊvərˈwelmɪŋ]
integration  [ˌɪntɪˈɡreɪʃ(ə)n]
crystal  [ˈkrɪst(ə)l]
recession  [rɪˈseʃ(ə)n]
wish  [wɪʃ]
top  [tɑːp]
written  [ˈrɪt(ə)n]
motive  [ˈmoʊtɪv]
label  [ˈleɪb(ə)l]
flood  [flʌd]
pen  [pen]
ownership  [ˈoʊnərʃɪp]
nightmare  [ˈnaɪtmer]
notice  [ˈnoʊtɪs]
inspection  [ɪnˈspekʃ(ə)n]
supervisor  [ˈsuːpərvaɪzər]
consult  [kənˈsʌlt]
arena  [əˈriːnə]
laugh  [læf]
diagnosis  [ˌdaɪəɡˈnoʊsɪs]
possession  [pəˈzeʃn]
forgive  [fərˈɡɪv]
warm  [wɔːrm]
consistently  [kənˈsɪstəntli]
basement  [ˈbeɪsmənt]
project  [ˈprɑːdʒekt]
drift  [drɪft]
drain  [dreɪn]
last  [læst]
prosecution  [ˌprɑːsɪˈkjuːʃ(ə)n]
maximum  [ˈmæksɪməm]
announcement  [əˈnaʊnsmənt]
warrior  [ˈwɔːriər]
prediction  [prɪˈdɪkʃn]
bacteria  [bækˈtɪriə]
questionnaire  [ˌkwestʃəˈner]
mud  [mʌd]
infrastructure  [ˈɪnfrəstrʌktʃər]
hurry  [ˈhɜːri]
privilege  [ˈprɪvəlɪdʒ]
temple  [ˈtemp(ə)l]
medium  [ˈmiːdiəm]
outdoor  [ˈaʊtdɔːr]
suck  [sʌk]
and/or  []
broadcast  [ˈbrɔːdkæst]
re  [riː]
leap  [liːp]
random  [ˈrændəm]
past  [pæst]
wrist  [rɪst]
curtain  [ˈkɜːrt(ə)n]
monitor  [ˈmɑːnɪtər]
pond  [pɑːnd]
domain  [doʊˈmeɪn]
guilt  [ɡɪlt]
cattle  [ˈkæt(ə)l]
subject  [ˈsʌbdʒekt]
walking  [ˈwɔːkɪŋ]
playoff  [ˈpleɪˌɔːf]
minimum  [ˈmɪnɪməm]
fiscal  [ˈfɪsk(ə)l]
skirt  [skɜːrt]
dump  [dʌmp]
hence  [hens]
database  [ˈdeɪtəbeɪs]
uncomfortable  [ʌnˈkʌmftəb(ə)l]
aim  [eɪm]
execute  [ˈeksɪkjuːt]
limb  [lɪm]
ideology  [ˌaɪdiˈɑːlədʒi]
average  [ˈævərɪdʒ]
welcome  [ˈwelkəm]
tune  [tuːn]
continuing  [kənˈtɪnjuːɪŋ]
harm  [hɑːrm]
railroad  [ˈreɪlroʊd]
endure  [ɪnˈdʊr]
radiation  [ˌreɪdiˈeɪʃ(ə)n]
horn  [hɔːrn]
chronic  [ˈkrɑːnɪk]
peaceful  [ˈpiːsf(ə)l]
innovation  [ˌɪnəˈveɪʃ(ə)n]
strain  [streɪn]
guitar  [ɡɪˈtɑːr]
replacement  [rɪˈpleɪsmənt]
behave  [bɪˈheɪv]
administer  [ədˈmɪnɪstər]
simultaneously  [ˌsaɪm(ə)lˈteɪniəsli]
dancer  [ˈdænsər]
amendment  [əˈmendmənt]
guard  [ɡɑːrd]
pad  [pæd]
transmission  [trænzˈmɪʃ(ə)n]
await  [əˈweɪt]
retired  [rɪˈtaɪərd]
trigger  [ˈtrɪɡər]
spill  [spɪl]
grateful  [ˈɡreɪtf(ə)l]
grace  [ɡreɪs]
virtual  [ˈvɜːrtʃuəl]
response  [rɪˈspɑːns]
colony  [ˈkɑːləni]
adoption  [əˈdɑːpʃ(ə)n]
slide  [slaɪd]
indigenous  [ɪnˈdɪdʒənəs]
closed  [kloʊzd]
convict  [kənˈvɪkt]
civilian  [səˈvɪliən]
towel  [ˈtaʊəl]
modify  [ˈmɑːdɪfaɪ]
particle  [ˈpɑːrtɪk(ə)l]
award  [əˈwɔːrd]
glance  [ɡlæns]
prize  [praɪz]
landing  [ˈlændɪŋ]
conduct  [kənˈdʌkt]
blue  [bluː]
boost  [buːst]
bat  [bæt]
alarm  [əˈlɑːrm]
festival  [ˈfestɪv(ə)l]
grip  [ɡrɪp]
weird  [wɪrd]
undermine  [ˌʌndərˈmaɪn]
